resultID,studyName,riskFactorName,fatality,fatalityLowerBound,fatalityUpperBound,fatalitypValue,fatalitySignificance,fatalityAdjusted,fatalityCalculated
1dd9e87d526f,"30-day mortality in patients hospitalized with COVID-19 during the first wave of the Italian epidemic: a prospective cohort study","Smoking Status","OR 1.37",0.7,2.67,0.36,"Not Significant","Not Adjusted",Calculated
29f84466ac27,"30-day mortality in patients hospitalized with COVID-19 during the first wave of the Italian epidemic: a prospective cohort study","Male gender","OR 2.24",1.02,4.91,0.04,Significant,"Not Adjusted",Calculated
9faafec2282f,"30-day mortality in patients hospitalized with COVID-19 during the first wave of the Italian epidemic: a prospective cohort study","Overweight or obese","OR 2.38",1.11,5.1,0.03,Significant,"Not Adjusted",Calculated
062a7a1e8ade,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.",Hypertension,HR=1.28,0.99,1.67,0.06,"Not Significant","Not Adjusted",Extracted
526af45b432f,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.","Male gender",HR=1.59,1.23,2.06,<0.05,Significant,"Not Adjusted",Extracted
a382f078c5cc,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.","Chronic respiratory diseases",HR=1.37,1.03,1.84,<0.05,Significant,"Not Adjusted",Extracted
c81105bd30bd,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.","Chronic kidney disease",HR=1.34,1.0,1.79,0.05,"Not Significant","Not Adjusted",Extracted
ef5a06a88a0e,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.",Diabetes,HR=1.24,0.95,1.6,0.11,"Not Significant","Not Adjusted",Extracted
02ba5eb5cc87,"A New Predictor of Disease Severity in Patients with COVID-19 in Wuhan, China",Age,,,,,,,
b64c2295eda1,"A report from the Brescia Renal COVID Task Force on the clinical characteristics and short-term outcome of hemodialysis Q1 patients with SARS-CoV-2 infection",Diabetes,"OR 1.7",0.69,4.2,0.25,"Not Significant","Not Adjusted",Extracted
f7955670a463,"ACP risk grade: a simple mortality index for patients with confirmed or suspected severe acute respiratory syndrome coronavirus 2 disease (COVID-19) during the early stage of outbreak in Wuhan China","Chronic liver disease",,,,,,,
463de5a3c185,"Active smoking is associated with severity of coronavirus disease 2019 (COVID-19): An update of a meta-analysis","Smoking Status",,,,,,,
8b5100a549fe,"Active smoking is not associated with severity of coronavirus disease 2019 (COVID-19)","Smoking Status",,,,,,,
3bc749cced6e,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence",Diabetes,AHR=2.84,1.01,8.01,,Significant,Adjusted,Extracted
4c686abbc3ce,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence",Cancer,AHR=0.82,0.18,3.65,,"Not Significant",Adjusted,Extracted
4cbfb081a198,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence",Hypertension,,,,,,,
6414fcc919df,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence",COPD,AHR=0.39,0.04,3.68,,"Not Significant",Adjusted,Extracted
