resultID,studyName,riskFactorName,severity,severityLowerBound,severityUpperBound,severitypValue,severitySignificance,severityAdjusted,severityCalculated
1dd9e87d526f,"30-day mortality in patients hospitalized with COVID-19 during the first wave of the Italian epidemic: a prospective cohort study","Smoking Status",,,,,,,
29f84466ac27,"30-day mortality in patients hospitalized with COVID-19 during the first wave of the Italian epidemic: a prospective cohort study","Male gender",,,,,,,
9faafec2282f,"30-day mortality in patients hospitalized with COVID-19 during the first wave of the Italian epidemic: a prospective cohort study","Overweight or obese",,,,,,,
062a7a1e8ade,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.",Hypertension,HR=1.26,0.9,1.76,0.19,"Not Significant","Not Adjusted",Extracted
526af45b432f,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.","Male gender",HR=1.41,1.01,1.96,<0.05,Significant,"Not Adjusted",Extracted
a382f078c5cc,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.","Chronic respiratory diseases",HR=1.26,0.86,1.85,0.23,"Not Significant","Not Adjusted",Extracted
c81105bd30bd,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.","Chronic kidney disease",HR=0.90,0.54,1.51,0.7,"Not Significant","Not Adjusted",Extracted
ef5a06a88a0e,"A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.",Diabetes,HR=1.42,1.04,1.95,<0.05,Significant,"Not Adjusted",Extracted
02ba5eb5cc87,"A New Predictor of Disease Severity in Patients with COVID-19 in Wuhan, China",Age,"OR 1.06",1.04,1.08,<0.01,Significant,"Not Adjusted",Extracted
b64c2295eda1,"A report from the Brescia Renal COVID Task Force on the clinical characteristics and short-term outcome of hemodialysis Q1 patients with SARS-CoV-2 infection",Diabetes,"OR 1.7",0.75,3.9,0.21,"Not Significant","Not Adjusted",Extracted
f7955670a463,"ACP risk grade: a simple mortality index for patients with confirmed or suspected severe acute respiratory syndrome coronavirus 2 disease (COVID-19) during the early stage of outbreak in Wuhan China","Chronic liver disease","OR 0.56",0.21,1.53,0.26,"Not Significant","Not Adjusted",Calculated
463de5a3c185,"Active smoking is associated with severity of coronavirus disease 2019 (COVID-19): An update of a meta-analysis","Smoking Status","OR 2.2",1.31,3.67,<0.05,Significant,"Not Adjusted",Extracted
8b5100a549fe,"Active smoking is not associated with severity of coronavirus disease 2019 (COVID-19)","Smoking Status","OR 1.69",0.41,6.92,0.25,"Not Significant","Not Adjusted",Extracted
3bc749cced6e,"Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence",Diabetes,AHR=1.59,1.03,2.45,,Significant,Adjusted,Extracted
